state,statefp,cd113fp,zip5
AL,01,07,35298
AL,01,07,35299
AL,01,07,35401
AL,01,07,35402
AL,01,07,35403
AL,01,07,35404
AL,01,07,35407
AL,01,07,35440
AL,01,07,35405
AL,01,07,35442
AL,01,07,35441
AL,01,07,35443
AL,01,07,35447
AL,01,07,35448
AL,01,07,35449
AL,01,07,35452
AL,01,07,35453
AL,01,07,35456
AL,01,07,35460
AL,01,07,35461
AL,01,07,35462
AL,01,07,35463
AL,01,07,35464
AL,01,07,35466
AL,01,07,35469
AL,01,07,35470
AL,01,07,35471
AL,01,07,35459
AL,01,07,35474
AL,01,07,35478
AL,01,07,35480
AL,01,07,35477
AL,01,07,35481
AL,01,07,35485
AL,01,07,35486
AL,01,07,35487
AL,01,07,35490
AL,01,07,35491
AL,01,07,36032
AL,01,07,36040
AL,01,07,36043
AL,01,07,36047
AL,01,07,36102
AL,01,07,36103
AL,01,07,36105
AL,01,07,36108
AL,01,07,36116
AL,01,07,36118
AL,01,07,36119
AL,01,07,36121
AL,01,07,36120
AL,01,07,36124
AL,01,07,36125
AL,01,07,36131
AL,01,07,36132
AL,01,07,36133
AL,01,07,36134
AL,01,07,36135
AL,01,07,36140
AL,01,07,36141
AL,01,07,36142
AL,01,07,36435
AL,01,07,36436
AL,01,07,36446
AL,01,07,36451
AL,01,07,36482
AL,01,07,36501
AL,01,07,36515
AL,01,07,36524
AL,01,07,36540
AL,01,07,36545
AL,01,07,36720
AL,01,07,36721
AL,01,07,36722
AL,01,07,36723
AL,01,07,36726
AL,01,07,36727
AL,01,07,36736
AL,01,07,36738
AL,01,07,36740
AL,01,07,36741
AL,01,07,36742
AL,01,07,36744
AL,01,07,36728
AL,01,07,36732
AL,01,07,36745
AL,01,07,36748
AL,01,07,36751
AL,01,07,36752
AL,01,07,36753
AL,01,07,36754
AL,01,07,36756
AL,01,07,36758
AL,01,07,36759
AL,01,07,36761
AL,01,07,36762
AL,01,07,36763
AL,01,07,36764
AL,01,07,36765
AL,01,07,36766
AL,01,07,36767
AL,01,07,36768
AL,01,07,36769
AL,01,07,36773
AL,01,07,36775
AL,01,07,36776
AL,01,07,36782
AL,01,07,36785
AL,01,07,36786
AL,01,07,36783
AL,01,07,36784
AL,01,07,36901
AL,01,07,36904
AL,01,07,36907
AL,01,07,36908
AL,01,07,36910
AL,01,07,36912
AL,01,07,36913
AL,01,07,36915
AL,01,07,36916
AL,01,07,36919
AL,01,07,36921
AL,01,07,36922
AL,01,07,36925
AR,05,01,72479
AR,05,01,72478
AR,05,01,72474
AR,05,01,72340
AR,05,01,71630
AR,05,01,72482
AR,05,01,71667
AR,05,01,72654
AR,05,01,72075
AR,05,01,72342
AR,05,01,71639
AR,05,01,72473
AR,05,01,72657
AR,05,01,71638
AR,05,01,72359
AR,05,01,72659
AR,05,01,72658
AR,05,01,72472
AR,05,01,72346
AR,05,01,71640
AR,05,01,72663
AR,05,01,71643
AR,05,01,71644
AR,05,01,71666
AR,05,01,72324
AR,05,01,72322
AR,05,01,72301
AR,05,01,72476
AR,05,01,72310
AR,05,01,72311
AR,05,01,72303
AR,05,01,72313
AR,05,01,72321
AR,05,01,72312
AR,05,01,72320
AR,05,01,72315
AR,05,01,72319
AR,05,01,72316
AR,05,01,72325
AR,05,01,72326
AR,05,01,72327
AR,05,01,72331
AR,05,01,72332
AR,05,01,72330
AR,05,01,72329
AR,05,01,72328
AR,05,01,72333
AR,05,01,71653
AR,05,01,71654
AR,05,01,72475
AR,05,01,72338
AR,05,01,72335
AR,05,01,72339
AR,05,01,71662
AR,05,01,72336
AR,05,01,71674
AR,05,01,72074
AR,05,01,72341
AR,05,01,72038
AR,05,01,72066
AR,05,01,72037
AR,05,01,72064
AR,05,01,71678
AR,05,01,72072
AR,05,01,72036
AR,05,01,72044
AR,05,01,72040
AR,05,01,72041
